Nama,Komentar,Waktu,Likes,Reply Count
@adesulistiana,"Ketiga tiga nya bagus 

Tapi ternyata Serem ya pak anis.. 
Nyerang pak prabowo terus
Kayak ada dendam 😂😂

Pak prabowo kayak tulus ya
Pak ganjar juga bagus

Jadi bingung milih yg mana😢",2024-01-08T09:00:52Z,1,0
@micindunia4241,"Saya pilih Ganjar, tapi andaikan Prabowo yg menang juga gak apa2,  siapa tau memang dia yg terbaik. Sebagai rakyat aku lihat Prabowo baik muji2 Ganjar, tapi Ganjar tega menyerang Prabowo.😂",2024-01-08T08:58:05Z,1,0
@samuri5450,Anis terlalu ambisi 😂😂😂😂,2024-01-08T08:47:37Z,1,0
@civilmost,"Untuk mas al, gini aja anggaran kita itu termasuk kecil dibanding dengan negara-negara Eropa seperti Inggris, jerman, perancis, russia. Atau kalo dari Asia ada China, Jepang, Korea, Singapura, Taiwan, dan, di amerika utara ada Amerika, Canada. Yang salah ada yang 1kuadriliunan keatas. Ditambah harga alutsista ini bukan seharga gorengan Jet Tempur AS yang F-22 Raptor itu kalo gak salah 1,2T/Unit dan selain F22 Raptor yang lainya juga alutsista tidak murah. Anda mengatakan prabowo tidak berplanning anda tidak usah menurut saya karna pak prabowo sendiri memangnya menurut anda beliau tidak mengerti militer?",2024-01-08T08:45:22Z,1,0
@user-dx6fo9wc7i,"Enggak semua org ahli bahasa sprtimu pak Anis pak Anis klw cuma pinter ngmng tp kerjanya nol nggak penting , aku tetap pragib",2024-01-08T08:44:54Z,0,0
@user-fd1lt1ji5o,O2 tetap di hati,2024-01-08T08:23:23Z,0,0
@user-fd1lt1ji5o,Acam dlm negri guna apa negara  punya tentara polisi sama saja Anis TDK taw,2024-01-08T08:21:36Z,0,0
@andysignergy,"siapapun yang jadi presiden rasanya tidak jadi masalah. asal bukan anis. 
anis : misinya : merusak indonesia.
ganjar : bersemangat terlihat berusaha membuktikan diri.
prabowo : kita semua merasakan, sangat menjaga ucapan karna ini persoalan pertahanan indonesia. 

kesimpulan : kali ini saya sangat hormat sama pak prabowo dengan begitu banyaknya data yang bisa di buka tapi tetap berusaha untuk di simpan demi indonesia.",2024-01-08T08:20:06Z,8,5
@user-pe2qz8cw4f,Pak Anies bukan untuk merusak melainkan mengoreksi lalu merevisi sesuatu kinerja yg kurang obyektif. berarti perubahan untuk perbaikan.faham merusak itu sangat keliru bro.,2024-01-08T10:10:33Z,3,
@elsajulianti2154,Ngaco banget merusak. Banyak2 belajar woy,2024-01-08T12:01:17Z,1,
@rosalialende3702,"Byk bicara tong kosong nyaring bunyinya (anis) 

Pak ganjar the best",2024-01-08T13:16:30Z,0,
@andysignergy,@@elsajulianti2154 😅😅😅 kita warga jakarta udah di kasih pelajaran membual.,2024-01-08T13:30:01Z,0,
@Netanyahu_anak_lonte,"​@@andysignergyemang lu aja yang warga jakarta, gw juga jakarta kali... 
Malah gw merasakan kemajuan Jakarta sejak dipimpin Pak Anis..",2024-01-08T14:27:30Z,0,
@igedediarkadana4431,Ganjar the best,2024-01-08T08:11:05Z,0,0
@user-fd1lt1ji5o,"Pak prabobo,,,,org hebat bicara soal Alusista beliau sudah makan garam dari prajurit Hinga panglima masi ingat to",2024-01-08T08:03:55Z,0,0
@user-fd1lt1ji5o,"Pak Anis,pandai mencari kelemahan org tapi TDK perna menyalakan diri sendiri
Pak Ganjar,hebat dalam negri tapi di luar negri pak Ganjar belom di kenal dunia",2024-01-08T08:01:50Z,1,0
@user-fd1lt1ji5o,"Soal Alusista bekas itu termaksud org hebat yg pandai   menilai Krn barang bekas sudah banyak operasi dan sudah terbukti banyak pengalaman 
Klo yg baru jgn sampe pake sebulan Uda keok,Krn belom perna di uji dlm Medan perang alian winior",2024-01-08T07:57:49Z,1,0
@Neuvari,"janji2 surga lu nies, lu dulu janji utamalu pas jd gubernur aj ga kesampean, mana rumah DP 0%nya?",2024-01-08T07:28:38Z,0,0
@Neuvari,"ini anies ma wowo saling tusuk, udahlah mending milih si ganjar aja",2024-01-08T07:25:35Z,0,0
@saptialestari262,Gaji pns aja mandek sama pak anis 😅😅😅,2024-01-08T07:24:42Z,2,0
@yohanayoku6741,"Ya ampun, Pak Anis Focus aja ke visi & misi Bpk😂. Biar rakyat yg menilai",2024-01-08T07:15:08Z,1,1
@zakipku1104,Nama jg debat bambang,2024-01-08T07:54:11Z,0,
@basukirudyrahardjo6773,anis bicara normatif seperti masyarakat awam. Kalau debat ya jangan kosongan gitu. Atau nggak ada isinya,2024-01-08T07:06:28Z,0,0
@zakipku1104,Maaf Pak. Gaza bukan org org lemah,2024-01-08T06:48:06Z,1,0
@jasjus3983,"Seorang pemimpin negara itu sejatinya harus punya kemampuan yg komplit, selain punya kecerdesan intelktual harus punya jiwa merakyat dan itu hanya ada dalam diri Ganjar.",2024-01-08T06:43:09Z,1,0
@ahmadsurono1748,Amoh ngomnge😂,2024-01-08T06:42:33Z,0,0
@Neuvari,"klo ngeliat dr orang2 ini yg debat kyny mang paling bagus si ganjar deh, klo prabowo bagus di gibrannya, klo anies jelek dua2nya",2024-01-08T06:41:43Z,7,0
@Neuvari,anies kalo senyum manis ya tapi kok hatinya busuk sih?,2024-01-08T06:40:52Z,5,0
@Heruthowil,Pendukung 02 mukanya kuat ya Ga malu 😂,2024-01-08T06:34:50Z,0,2
@muhamadamri9386,Bazzer bg😅,2024-01-08T09:55:14Z,0,
@Heruthowil,@@muhamadamri9386 iya bang wkwk,2024-01-08T10:06:38Z,0,
@Neuvari,"ini prabowo apa2 stuju ganjar, coba kasi pendapat yg lebih baik kek ato apa gitu, ky nyomot kunci jawaban aja",2024-01-08T06:28:42Z,0,0
@Vulus_-.-_-.-_-.-_-.-_-.-_-.-_,"aq liat anis kok tanggapan dan jawaban bisa fokus terus, ini org makanannya apa yak?",2024-01-08T06:28:28Z,0,0
@Heruthowil,Prabowo selalu memuji ganjar niatnya mau ngajak buat nyerang anis eh malah sebaliknya ganjar dan anis menyerang prabowo kasiaan di phpin ganjar😂 di rujak habis2an ama anis dan ganjar,2024-01-08T06:27:50Z,3,0
@Neuvari,"anies masi ga berubah aja cara maennya, suka menjatuhkan orang, sama dr dulu ampe sekarang ampe kedepannya ga bakal berubah itu akal busuknya",2024-01-08T06:24:51Z,9,0
@bangorbudak,hanya ptabowo yg fair dan satria,2024-01-08T06:23:04Z,0,0
@Neuvari,selatan2 apalah pret lu nies,2024-01-08T06:21:43Z,1,0
@kinlaz,"yang berkualitas hanya no.1, lah..klo ngomong di kanca internasional mosok hrs berjam2 ya harus tegas, lugas, santun dan ada gagasan...sungguh malu kami mendukung no.2 awalnya ..., manteb pindah ramai2 ke no.1..., paslon ini layak dapat bintang..., dari uraian, jawaban semua jelas...., coba bayangkan kalo mau pilih ketua kelas...mosok pilih yg banyak blunder, emosionalan, dan gak punya gagasan....sori yee..smakin manteb pindah ke no.1 , nyesel selama ini ke no.2",2024-01-08T06:16:24Z,0,0
@dewiherya9692,Kalo ngomong doang mah gampang fakta nya yang sulit buktinya “saya tidak akan maju memotong proses pencalonan kalo pak prabowo lawan nya” dan faktanya sulit sekali untuk dijalankan😂 contoh kecil,2024-01-08T06:14:06Z,0,0
@user-fc5ow8bj9k,"Ini Debat CAPRES apa HANYA ingin Bertanya Tentang Alustsista Pertahanan Ke Pada 1 Orang, Pengen Ketawa Takut Dosa hahahahaha",2024-01-08T06:11:27Z,0,0
@sakkarepkoe3228,"fakta , 01 dan 03 mencari kesalahan 02,,. mbokyo bercermin,.......sy PDI , tp besok mantap 02",2024-01-08T06:11:10Z,9,1
@tyashermawan4459,"Debat pertama prabowo menyerang anis dg tanya anggaran sekian di buat apa di dki tapi dijawab dengan data,giliran di genti tanya kek gitu bilangnya mencari kesalahan wkwkwkw",2024-01-09T12:58:02Z,0,
@Neuvari,anies jd presiden rohingya di lautan lepas aja,2024-01-08T06:10:28Z,1,0
@dikiariski7170,Prabowo prabowo😂,2024-01-08T06:09:30Z,0,0
@anggiramdani8578,Ocehan moderator membagongkan,2024-01-08T06:09:11Z,0,0
@Neuvari,"nis ngomong jangan lama2 nis, bikin mencret2 nih gw",2024-01-08T06:07:50Z,0,0
@Web3-ud9fi,"Bingung sih,  pak anis kaya kutu loncat sana sini... 
Ya gtuh klo dikasih panggung, sama kaya komentatornya..  

Pdhal pk prabowo Dari tadi Diem,  disenggol senggol mulu.. 
Kocak emang pak anis sma komentator jeda nya 😅
Dibilang berapi api,  ya mangkanya focus sma tujuan sendiri,  bukan nyenggol nyenggol orang awowkwok",2024-01-08T06:05:23Z,1,0
@SuYadi-lv5sy,"Kami tahu mana Calon ihlas dan tidak
Yg kita butuh langkah kongkrit utk penyelesaian problem tantangan kedepan sesuai fisi misinya.
Bukannya fisi misi memancing emosi dan pandai  merangkai kata  demi elektoralnya.
Kami faham karakter tiap calon. Kami butuh pemimpin yg gk banyak bicara tapi nyata kerjanya dan merangkul semua.bukan yg pinter bicara tapi bingung mau ngapain",2024-01-08T06:01:03Z,1,0
@ahmadsurono1748,Omon omon doang😂,2024-01-08T06:00:36Z,0,0
@saefulkasep1318,Nunggu rocky gerung mengkritik ..,2024-01-08T05:50:28Z,0,0
@Gilang_xtc,"Ok oc keren banget gagasan nya tapi pembuktian nya 0 BESAR wkwkw omong doang katenye,...",2024-01-08T05:49:28Z,0,0
@tinamr5432,Pemimpin itu yang bisa menjamin KESEJAHTERAAN dan Rasa Aman Rakyatx...itulah Prabowo !,2024-01-08T05:48:07Z,2,0
